date,shift,machine_id,product_id,operator_id,planned_time_min,downtime_min,downtime_reason,operating_time_min,total_units,good_units,reject_units,defect_type,energy_kwh,availability,performance,quality,OEE,month,day_of_week,is_weekend,week,downtime_rate,reject_rate,energy_per_unit,oee_gap,production_efficiency,no_downtime,has_breakdown,has_defect,low_OEE,OEE_category,shift_enc,machine_id_enc,product_id_enc,operator_id_enc,downtime_reason_enc,defect_type_enc
2025-01-01,Shift_1,M01,P_E,OP026,480,47,No Downtime,433,511,493,18,Surface Defect,243.85,0.902,0.85,0.965,0.74,1,2,0,1,0.0979,0.0352,0.4946,0.11,0.9648,0,0,1,0,Fair(65-75%),0,0,4,25,3,4
2025-01-01,Shift_2,M01,P_C,OP027,480,110,No Downtime,370,368,359,9,No Defect,210.38,0.771,0.902,0.976,0.679,1,2,0,1,0.2292,0.0245,0.586,0.171,0.9755,0,0,0,0,Fair(65-75%),1,0,2,26,3,2
2025-01-01,Shift_3,M01,P_D,OP006,480,6,Setup,474,483,435,48,No Defect,338.53,0.988,0.769,0.901,0.684,1,2,0,1,0.0125,0.0994,0.7782,0.166,0.9006,0,0,0,0,Fair(65-75%),2,0,3,5,4,2
2025-01-01,Shift_1,M02,P_E,OP010,480,78,No Downtime,402,495,478,17,No Defect,227.58,0.838,0.761,0.966,0.616,1,2,0,1,0.1625,0.0343,0.4761,0.234,0.9657,0,0,0,1,Poor(50-65%),0,1,4,9,3,2
2025-01-01,Shift_2,M02,P_E,OP029,480,93,Material Shortage,387,579,540,39,No Defect,296.79,0.806,0.794,0.933,0.597,1,2,0,1,0.1938,0.0674,0.5496,0.253,0.9326,0,0,0,1,Poor(50-65%),1,1,4,28,2,2
2025-01-01,Shift_3,M02,P_A,OP022,480,119,No Downtime,361,781,727,54,No Defect,205.18,0.752,0.838,0.931,0.586,1,2,0,1,0.2479,0.0691,0.2822,0.264,0.9309,0,0,0,1,Poor(50-65%),2,1,0,21,3,2
2025-01-01,Shift_1,M03,P_D,OP031,480,33,Material Shortage,447,715,670,45,No Defect,265.91,0.931,0.857,0.937,0.748,1,2,0,1,0.0688,0.0629,0.3969,0.102,0.9371,0,0,0,0,Fair(65-75%),0,2,3,30,2,2
2025-01-01,Shift_2,M03,P_A,OP013,480,58,No Downtime,422,693,656,37,No Defect,339.76,0.879,0.905,0.947,0.753,1,2,0,1,0.1208,0.0534,0.5179,0.097,0.9466,0,0,0,0,Good(75-85%),1,2,0,12,3,2
2025-01-01,Shift_3,M03,P_D,OP036,480,15,No Downtime,465,756,739,17,No Defect,223.02,0.969,0.898,0.978,0.85,1,2,0,1,0.0312,0.0225,0.3018,0.0,0.9775,0,0,0,0,Good(75-85%),2,2,3,35,3,2
2025-01-01,Shift_1,M04,P_D,OP030,480,39,No Downtime,441,866,837,29,No Defect,151.48,0.919,0.803,0.967,0.713,1,2,0,1,0.0812,0.0335,0.181,0.137,0.9665,0,0,0,0,Fair(65-75%),0,3,3,29,3,2
2025-01-01,Shift_2,M04,P_E,OP030,480,106,No Downtime,374,490,476,14,No Defect,225.94,0.779,0.933,0.971,0.707,1,2,0,1,0.2208,0.0286,0.4747,0.143,0.9714,0,0,0,0,Fair(65-75%),1,3,4,29,3,2
2025-01-01,Shift_3,M04,P_E,OP030,480,110,Breakdown,370,829,763,66,No Defect,208.76,0.771,0.77,0.92,0.546,1,2,0,1,0.2292,0.0796,0.2736,0.304,0.9204,0,1,0,1,Poor(50-65%),2,3,4,29,0,2
2025-01-01,Shift_1,M05,P_B,OP024,480,54,No Downtime,426,775,742,33,No Defect,228.8,0.887,0.842,0.957,0.716,1,2,0,1,0.1125,0.0426,0.3084,0.134,0.9574,0,0,0,0,Fair(65-75%),0,4,1,23,3,2
2025-01-01,Shift_2,M05,P_D,OP029,480,30,Maintenance,450,547,529,18,No Defect,161.04,0.938,0.818,0.967,0.741,1,2,0,1,0.0625,0.0329,0.3044,0.109,0.9671,0,0,0,0,Fair(65-75%),1,4,3,28,1,2
2025-01-01,Shift_3,M05,P_B,OP039,480,58,No Downtime,422,615,575,40,No Defect,162.78,0.879,0.944,0.935,0.776,1,2,0,1,0.1208,0.065,0.2831,0.074,0.935,0,0,0,0,Good(75-85%),2,4,1,38,3,2
